Date,Title,Content,Url
2018/12/16 17:27,Samsung units suffer sharp declines in stock prices ,"Samsung Electro-Mechanics, Samsung SDI and Samsung SDS have suffered a sharp drop in their stock prices amid a slowdown in demand for IT devices in addition to a recession owing to the U.S.-China trade conflict, analysts said Sunday. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_260443.html
2018/12/15 10:46,[INTERVIEW] Korean startup's eye set on messaging ,"The name SendBird may not ring a bell for many, but the Korean startup is taking Silicon Valley by storm. The company enables easy integration of real-time chat feature for mobile apps, websites and games. Think customer service chat or private messaging between users. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_260403.html
2018/12/14 17:21,KT develops C-V2X device for self-driving cars ,"KT has developed a prototype of C-V2X (cellular vehicle-to-everything) device that can be installed in self-driving cars, the telecommunication firm said Friday. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_260407.html
2018/12/14 14:13,Huawei to strengthen partnership with Korean companies ,"Huawei, the world's largest supplier of telecoms equipment, will strengthen its partnership with Korean companies to develop information and communications technology (ICT). ",http://www.koreatimes.co.kr/www/tech/2018/12/133_260374.html
2018/12/14 9:31,Huawei offers to spend $2 bil. to allay UK's security concerns ,"Huawei's relations with British authorities hit a low last month when a top official walked out of a meeting with the Chinese company over its perceived failure to fix security holes in its products, sources familiar with the talks told Reuters. Although Huawei responded with a pledge to spend $2 billion on a security overhaul to address the British concerns, tensions between...",http://www.koreatimes.co.kr/www/tech/2018/12/133_260366.html
2018/12/13 19:18,LG rolls out ESS for solar power plant ,"LG Electronics rolled out energy storage systems (ESS) for small-sized solar power plants to take the lead in the growing ESS market, the tech giant said Thursday. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_260323.html
2018/12/13 9:10,Dsion discovers promising start-ups in Singapore ,"Dsion, a blockchain platform dedicated to establishing a healthy start-up funding ecosystem, successfully hosted the Startup Challenge: Singapore finals at PSB Academy in Marina Square on the 9th. The contest was co-hosted by BlockOn Capital PTE. LTD., which operates the local corporate body of the Silicon Valley-based venture capital company Founders Space. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_260309.html
2018/12/12 17:21,Convertible laptops attracting consumer interest in Korea ,"The laptop market here has been experiencing sluggish sales due to the rise of tablets and smartphones, but convertible laptops, which can be converted from a laptop to a tablet, has been attracting consumers looking for something more powerful than a tablet and more multifunctional than a laptop, industry analysts said Wednesday. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_260291.html
2018/12/12 16:11,Tax agency probing Google Korea: sources ,"South Korea's tax agency launched an investigation into a local office of U.S. tech giant Google Inc. amid rumors of tax evasion by some YouTubers here, industry sources said Wednesday. Earlier in the day, the National Tax Service (NTS) sent auditors and investigators to the headquarters of Google Korea in Gangnam, southern Seoul, to secure accounting books and other financia...",http://www.koreatimes.co.kr/www/tech/2018/12/133_260271.html
2018/12/12 9:43,Trump says he could intervene in U.S. case against Huawei CFO ,U.S. President Donald Trump said on Tuesday he would intervene in the Justice Department's case against a top executive at China's Huawei Technologies if it would serve national security interests or help close a trade deal with China. Huawei's Chief Financial Officer Meng Wanzhou was arrested in Canada Dec. 1 and has been accused by the United States of misleading multinatio...,http://www.koreatimes.co.kr/www/tech/2018/12/133_260239.html
2018/12/12 9:37,Huawei CFO gets bail; China detains ex-Canadian diplomat ,"A Canadian court granted bail on Tuesday to a top Chinese executive arrested at the United States' request in a case that has set off a diplomatic furor among the three countries and complicated high-stakes U.S.-China trade talks. Hours before the bail hearing in Vancouver, China detained a former Canadian diplomat in Beijing in apparent retaliation for the Dec. 1 arrest of M...",http://www.koreatimes.co.kr/www/tech/2018/12/133_260238.html
2018/12/11 17:11,"Korea to impose value-added tax on Google, Facebook, AWS ","Korea will impose value-added tax (VAT) on global IT giants such as Google, Facebook and Amazon Web Services (AWS) starting July 1 next year, as the National Assembly has passed the revision to the VAT Act, a lawmaker said Tuesday. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_260213.html
2018/12/11 16:07,LG develops capsule beer brewing machine ,"LG Electronics has developed a capsule-based craft beer brewing machine to capitalize on the rapidly growing demand for homemade beer, the company said Tuesday. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_260196.html
2018/12/11 13:19,Japan confirms Huawei ban over security fears ,"Japan has decided effectively to exclude Chinese telecom equipment providers Huawei and ZTE from public procurement from April over national security concerns. The decision comes after the United States, Australia and New Zealand barred the use of equipment from the companies in their next-generation 5G infrastructure rollout amid concerns of possible links with China's gover...",http://www.koreatimes.co.kr/www/tech/2018/12/133_260180.html
2018/12/10 17:41,Korean battery makers rushing to build plants overseas ,"LG Chem, Samsung SDI and SK Innovation have been rushing to build lithium-ion battery plants in China, the United States and Europe to meet the rapidly growing global demand for electric vehicles (EVs), company officials said Monday. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_260144.html
2018/12/10 17:41,Battery engineer's quadruplets celebrate 1st birthday ,"In Korea where the low birthrate has emerged as a serious issue, giving birth to quadruplets is extremely rare. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_260130.html
2018/12/10 17:30,Korea builds urban infrastructure for testing autonomous vehicles ,"KT and the Korea Transportation Safety Authority (TS) have completed the construction of the nation's first experimental city, based on the high-end fifth-generation (5G) networks, to test autonomous vehicles, the telecom company said Monday. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_260137.html
2018/12/10 17:29,"Kakao starts Uber-style service, despite protests from cabbies ","Kakao is pushing ahead with launching its ride-sharing service despite continued protests from taxi unions, continuing with the trial service that started last Friday. ",http://www.koreatimes.co.kr/www/tech/2018/12/133_260143.html
2018/12/10 9:39,China summons US envoy to protest detention of Huawei executive ,China summoned the U.S. ambassador to Beijing on Sunday to protest the detention of an executive of Chinese electronics giant Huawei in Canada at Washington's behest and demanded Washington cancel an order for her arrest. The official Xinhua News Agency said Vice Foreign Minister Le Yucheng ``lodged solemn representations and strong protests'' with Ambassador Terry Branstad a...,http://www.koreatimes.co.kr/www/tech/2018/12/133_260106.html
2018/12/9 17:36,Samsung beefs up cinema screen biz ,Samsung Electronics is strengthening its foothold in the cinema screen market seeking to diversify its business portfolio into the business-to-business segment. ,http://www.koreatimes.co.kr/www/tech/2018/12/133_260089.html
